Name,Age,GPA,Credits Completed,Year,Pathway
Benedict Smith,14,2.15,36,Freshman,Bio Med
Eliana Jones,14,2.02,53,Freshman,Criminal Justice
Kaden Anderson,17,2.42,17,Victory Lap,Early Childhood Education
Danielle Willaims,15,3.41,4,Sophomore,Culinary
Alexis Miller,19,0.68,38,Senior,Marketing
Marge Wilson,15,2.02,51,Victory Lap,Construction
Aiden Johnson,15,3.96,15,Freshman,Early Childhood Education
Katerina Jones,17,3.71,5,Freshman,Business
Joe Willaims,16,1.96,48,Junior,Business
Jane Wilson,18,0.69,37,Junior,Business
Danielle Wilson,14,1.71,36,Sophomore,Computer Science
Roman Miller,19,1.88,18,Freshman,Computer Science
Emmy Garcia,16,0.58,22,Junior,Marketing
Emma Smith,14,3.09,13,Sophomore,Bio Med
Keaton Anderson,15,1.72,0,Sophomore,Engineering
Roman Brown,19,0.81,13,Sophomore,Computer Science
Eliana DeFreitas,17,1.64,35,Senior,Bio Med
Marge Davis,19,2.38,45,Senior,Construction
Elijah Anderson,14,2.9,52,Senior,Engineering
Jill Foster,14,2.9,29,Junior,Early College
Aiden Davis,15,1.45,26,Freshman,Culinary
Elijah DeFreitas,14,0.32,2,Senior,Early Childhood Education
Van Fogarty,16,1.33,46,Freshman,Culinary
Lisa Foster,19,1.73,26,Sophomore,Bio Med
Marge Wilson,17,2.68,15,Junior,Early College
Rachel Manukyan,17,2.05,57,Junior,Bio Med
Katerina Willaims,16,3.32,39,Victory Lap,Business
Mac Brown,15,0.52,13,Freshman,Construction
Aiden Smith,14,0.39,29,Victory Lap,Culinary
Kaden Manukyan,16,1.76,42,Junior,Marketing
Keaton Willaims,14,3.31,13,Junior,Early College
Marge Brown,17,3.11,59,Senior,Early Childhood Education
Emmy Davis,16,2.14,58,Junior,Marketing
Benedict Smith,16,3.06,1,Senior,Construction
Katerina Jones,16,0.93,52,Senior,Computer Science
Emmy DeFreitas,17,1.65,13,Junior,Early Childhood Education
Alexis Garcia,18,1.09,46,Senior,Engineering
Alexis Willaims,19,3.54,53,Freshman,Early Childhood Education
Emmy Manukyan,15,1.68,57,Freshman,Computer Science
Andrew Brown,16,1.95,17,Senior,Computer Science
Emmy Moore,19,0.58,4,Victory Lap,Business
Emmy Johnson,16,1.03,56,Freshman,Marketing
Emma Foster,19,2.87,4,Victory Lap,Bio Med
Alexis Miller,18,2.14,51,Junior,Early College
Mac Garcia,14,0.92,35,Senior,Engineering
Kyan Foster,14,2.25,27,Freshman,Early College
Benedict Foster,18,1.07,15,Victory Lap,Early Childhood Education
Elijah Moore,16,1.1,24,Freshman,Construction
Alexis Davis,16,2.19,58,Senior,Early College
Lucian Wilson,15,4.12,42,Junior,Engineering
Van Brown,14,2.63,49,Freshman,Culinary
Roman Foster,17,2.25,19,Junior,Criminal Justice
Emmy Foster,18,2.81,53,Sophomore,Criminal Justice
Emmy Manukyan,15,4.06,7,Junior,Culinary
Emma Willaims,15,3.31,12,Victory Lap,Computer Science
Keaton Foster,16,1.37,23,Junior,Business
Keaton Wilson,14,3.36,54,Sophomore,Marketing
Lucian Davis,16,1.12,36,Freshman,Early College
Van Foster,15,1.23,43,Victory Lap,Business
Van DeFreitas,17,1.33,30,Sophomore,Culinary
Katerina Manukyan,16,0.42,27,Victory Lap,Early Childhood Education
Eliana Johnson,17,0.53,51,Freshman,Engineering
Andrew Foster,19,3.63,1,Sophomore,Early College
Kyan Garcia,15,3.3,0,Freshman,Criminal Justice
Aiden Miller,17,0.63,13,Senior,Marketing
Van Fogarty,15,1.97,10,Freshman,Construction
Rachel Smith,14,1.75,57,Senior,Bio Med
Alexis Moore,15,1.13,41,Senior,Early Childhood Education
Ben Garcia,19,3.39,28,Victory Lap,Early College
Emmy Miller,14,4.28,53,Junior,Early Childhood Education
Elijah Willaims,17,4.14,27,Junior,Engineering
Kyan Garcia,16,1.15,22,Sophomore,Early College
Katerina Moore,16,1.93,13,Sophomore,Bio Med
Emmy Brown,15,2.55,58,Sophomore,Construction
Alexis Brown,16,0.48,42,Sophomore,Computer Science
Roman Foster,14,1.79,8,Senior,Early Childhood Education
Ben Anderson,14,0.76,43,Sophomore,Early College
Benedict Moore,16,3.87,40,Freshman,Marketing
Eliana Manukyan,18,2.7,48,Junior,Construction
Andrew Smith,17,1.76,36,Junior,Engineering
Aiden Johnson,15,0.87,56,Victory Lap,Bio Med
Jill Jones,16,3.77,49,Senior,Criminal Justice
Danielle Johnson,14,4.04,26,Sophomore,Computer Science
Mac Garcia,15,4.19,21,Junior,Culinary
Kyan Manukyan,17,3.06,59,Sophomore,Bio Med
Danielle Miller,17,3.86,17,Freshman,Culinary
Aiden Moore,16,3.29,13,Junior,Culinary
Marge Smith,14,1.39,46,Junior,Early Childhood Education
Lucian Jones,16,4.18,15,Senior,Engineering
Elijah DeFreitas,14,2.69,10,Sophomore,Bio Med
Lisa Smith,17,3.28,43,Sophomore,Bio Med
Aiden Willaims,14,3.91,43,Senior,Criminal Justice
Van Davis,18,1.73,52,Junior,Business
Emmy Miller,18,1.51,50,Victory Lap,Criminal Justice
Ben Anderson,14,0.35,22,Victory Lap,Computer Science
Eliana Davis,19,1.97,52,Victory Lap,Construction
Alexis Jones,19,1.27,8,Senior,Culinary
Kyan Smith,15,2.05,60,Victory Lap,Engineering
Keaton Willaims,15,1.09,60,Victory Lap,Engineering
Jill Smith,14,4.03,12,Senior,Computer Science
Ben Garcia,19,3.13,43,Junior,Construction
Lucian DeFreitas,15,2.96,10,Senior,Business
Aiden Smith,14,1.47,11,Senior,Construction
Ben Smith,17,1.64,56,Sophomore,Early Childhood Education
Marge Jones,15,2.36,30,Sophomore,Early Childhood Education
Joe Anderson,16,2.77,5,Junior,Early College
Emmy Smith,19,1.87,42,Junior,Early College
Aiden Smith,16,3.85,2,Freshman,Engineering
Lisa Garcia,19,0.45,8,Senior,Construction
Kaden Miller,15,3.2,22,Junior,Early Childhood Education
Kaden Wilson,15,4.1,35,Sophomore,Construction
Emma Anderson,16,1.63,31,Junior,Culinary
Alexis Garcia,14,2.38,13,Senior,Business
Roman Davis,19,2.6,13,Senior,Bio Med
Jane Fogarty,16,2.7,40,Senior,Construction
Lucian Garcia,17,0.84,31,Sophomore,Criminal Justice
Aiden Moore,14,2.52,46,Freshman,Bio Med
Mac Manukyan,19,1.58,33,Sophomore,Construction
Jill Fogarty,19,1.95,17,Senior,Early College
Andrew Fogarty,15,2.13,43,Senior,Early College
Kaden Davis,19,1.09,56,Senior,Early Childhood Education
Joe Willaims,14,3.73,25,Freshman,Criminal Justice
Danielle Fogarty,17,3.23,22,Sophomore,Bio Med
Noah Johnson,19,3.11,25,Victory Lap,Early College
Lucian Davis,15,1.31,47,Junior,Bio Med
Ben Jones,18,4.13,24,Senior,Criminal Justice
Andrew Miller,16,0.31,8,Sophomore,Bio Med
Joe Smith,19,3.96,8,Senior,Engineering
Emma Garcia,19,1.93,41,Sophomore,Engineering
Alexis Brown,16,1.86,23,Victory Lap,Business
Kaden Moore,16,3.15,8,Victory Lap,Business
Joe Garcia,18,1.2,31,Freshman,Criminal Justice
Jill Davis,14,0.86,28,Senior,Criminal Justice
Lucian Johnson,16,2.05,59,Senior,Bio Med
Rachel Davis,14,2.91,9,Victory Lap,Business
Kyan Willaims,19,2.17,38,Freshman,Culinary
Jill Garcia,18,3.97,10,Senior,Business
Emmy Willaims,17,2.21,6,Freshman,Criminal Justice
Benedict Jones,19,3.7,12,Junior,Bio Med
Van Jones,17,1.25,30,Senior,Engineering
Alexis Davis,16,2.71,53,Junior,Early Childhood Education
Emmy Anderson,16,1.3,44,Senior,Bio Med
Marge Garcia,17,2.05,15,Victory Lap,Marketing
Aiden Manukyan,17,0.8,4,Senior,Marketing
Jill Garcia,16,0.55,13,Freshman,Criminal Justice
Mac Manukyan,15,3.01,25,Sophomore,Computer Science
Ben Garcia,15,3.3,4,Senior,Culinary
Lisa Anderson,14,1.38,33,Senior,Marketing
Joe Anderson,14,0.8,6,Victory Lap,Marketing
Benedict Brown,17,1.48,6,Sophomore,Business
Roman Johnson,19,2.69,35,Senior,Marketing
Jill Anderson,19,2.72,29,Senior,Early College
Benedict Anderson,14,3.28,41,Senior,Engineering
Alexis Jones,15,2.91,15,Victory Lap,Early Childhood Education
Joe Manukyan,15,2.69,56,Sophomore,Early Childhood Education
Andrew Foster,17,3.29,0,Victory Lap,Marketing
Ben Garcia,16,0.83,26,Senior,Business
Joe Foster,18,4.18,49,Senior,Early College
Andrew Smith,14,3.34,24,Junior,Early Childhood Education
Kaden DeFreitas,18,3.87,2,Sophomore,Computer Science
Andrew Manukyan,17,1.23,10,Senior,Criminal Justice
Marge Johnson,16,1.8,11,Freshman,Early Childhood Education
Van Anderson,18,2.8,48,Senior,Marketing
Keaton Foster,16,1.77,35,Sophomore,Construction
Ben Brown,16,3.88,18,Junior,Criminal Justice
Eliana Jones,16,3.64,17,Senior,Construction
Mac Wilson,14,0.39,38,Victory Lap,Criminal Justice
Alexis Wilson,17,3.13,44,Freshman,Early College
Kyan DeFreitas,14,0.81,35,Senior,Computer Science
Aiden Brown,18,3.28,16,Sophomore,Marketing
Elijah Anderson,16,0.46,56,Victory Lap,Marketing
Aiden Garcia,18,0.85,30,Victory Lap,Early College
Mac Anderson,17,1.7,5,Junior,Criminal Justice
Lisa Willaims,15,0.64,9,Freshman,Early College
Lucian Davis,14,4.08,58,Sophomore,Construction
Aiden Anderson,16,2.62,8,Senior,Business
Noah Smith,15,0.42,8,Freshman,Bio Med
Lisa Fogarty,16,3.13,42,Victory Lap,Early Childhood Education
Kyan Wilson,15,0.98,29,Senior,Marketing
Marge Jones,19,2.3,14,Sophomore,Construction
Aiden Foster,18,1.57,33,Freshman,Bio Med
Emma Wilson,19,4.18,29,Junior,Early Childhood Education
Danielle Anderson,19,1.37,2,Sophomore,Early Childhood Education
Roman Moore,14,0.46,46,Sophomore,Computer Science
Van Garcia,15,3.73,32,Sophomore,Construction
Danielle Foster,15,2.52,2,Freshman,Computer Science
Eliana Garcia,17,2.54,40,Senior,Early Childhood Education
Joe Smith,15,2.63,7,Junior,Computer Science
Elijah Moore,15,0.8,60,Junior,Criminal Justice
Noah Moore,14,2.61,56,Sophomore,Criminal Justice
Kaden Anderson,19,3.65,12,Sophomore,Marketing
Rachel Willaims,17,1.38,49,Victory Lap,Bio Med
Marge Willaims,16,2.05,32,Junior,Criminal Justice
Kaden Moore,19,1.69,45,Senior,Computer Science
Lisa Foster,16,4.21,7,Senior,Early Childhood Education
Jill Miller,19,1.52,14,Freshman,Early College
Elijah DeFreitas,14,3.4,44,Victory Lap,Early Childhood Education
Van Anderson,14,1.31,55,Freshman,Criminal Justice
Benedict Brown,18,2.39,9,Senior,Criminal Justice
Alexis Foster,19,4.25,42,Sophomore,Marketing
Joe Manukyan,15,2.01,0,Freshman,Computer Science
Jill Willaims,18,2.77,57,Victory Lap,Culinary
Emma Brown,14,1.49,47,Sophomore,Marketing
Kaden Smith,16,0.4,21,Senior,Construction
Katerina Brown,17,3.0,23,Senior,Computer Science
Alexis Wilson,14,2.83,37,Freshman,Bio Med
Andrew Foster,16,0.66,45,Junior,Business
Kaden Moore,17,0.87,59,Senior,Engineering
Aiden Johnson,18,2.95,3,Freshman,Construction
Marge Anderson,16,1.51,46,Junior,Business
Aiden Willaims,15,3.7,24,Victory Lap,Marketing
Katerina Brown,14,2.48,47,Junior,Marketing
Andrew Wilson,17,3.07,6,Sophomore,Early College
Kaden Miller,18,2.19,30,Freshman,Business
Aiden Anderson,16,0.61,48,Victory Lap,Criminal Justice
Kyan Miller,16,1.96,51,Victory Lap,Computer Science
Mac Wilson,15,4.11,47,Sophomore,Culinary
Kaden Smith,16,3.55,57,Junior,Bio Med
Andrew Moore,14,2.09,50,Junior,Business
Rachel Davis,14,0.6,45,Senior,Culinary
Aiden Miller,15,1.71,6,Junior,Business
Emma Brown,14,4.18,45,Senior,Bio Med
Jane Miller,19,2.65,56,Victory Lap,Construction
Jane Johnson,18,3.46,7,Freshman,Early Childhood Education
Katerina Johnson,16,0.71,19,Junior,Marketing
Alexis DeFreitas,15,0.89,13,Victory Lap,Business
Aiden Willaims,16,0.97,59,Freshman,Early College
Danielle Fogarty,15,1.4,13,Junior,Construction
Jill Brown,17,3.48,42,Junior,Early Childhood Education
Van Moore,18,1.73,0,Sophomore,Engineering
Danielle Willaims,19,0.76,60,Victory Lap,Engineering
Lucian Davis,14,1.48,40,Freshman,Culinary
Mac Foster,16,0.66,8,Freshman,Computer Science
Danielle DeFreitas,18,1.25,44,Freshman,Construction
Noah Willaims,18,0.55,60,Victory Lap,Computer Science
Katerina Johnson,16,0.53,28,Junior,Early Childhood Education
Ben Anderson,19,0.9,5,Junior,Culinary
Lucian Foster,19,3.87,49,Junior,Construction
Marge Jones,15,0.64,47,Sophomore,Marketing
Joe Davis,19,1.82,22,Victory Lap,Computer Science
Andrew Anderson,19,2.47,29,Junior,Culinary
Andrew Smith,17,2.84,8,Junior,Marketing
Eliana Davis,19,1.4,8,Senior,Early College
Marge DeFreitas,16,2.14,2,Victory Lap,Criminal Justice
Ben Jones,16,1.78,47,Victory Lap,Culinary
Emma Johnson,15,4.19,46,Senior,Early College
Van Fogarty,18,4.25,3,Freshman,Marketing
Katerina Miller,14,2.06,23,Freshman,Computer Science
Emma Brown,18,0.81,4,Victory Lap,Construction
Jane Foster,17,2.2,34,Senior,Culinary
Katerina Brown,18,0.35,44,Junior,Culinary
Kyan Fogarty,14,3.19,38,Sophomore,Criminal Justice
Emmy Davis,16,3.4,22,Junior,Bio Med
Keaton Foster,15,3.89,11,Junior,Culinary
Keaton Willaims,19,2.22,11,Victory Lap,Culinary
Noah Foster,16,1.49,15,Senior,Culinary
Kyan Miller,14,3.35,46,Freshman,Culinary
Lucian Miller,17,1.87,48,Sophomore,Marketing
Ben Anderson,15,2.61,28,Senior,Construction
Noah Davis,14,0.47,47,Freshman,Computer Science
Rachel Moore,18,0.31,20,Senior,Construction
Danielle Garcia,18,3.19,45,Freshman,Culinary
Lucian Fogarty,15,3.7,36,Victory Lap,Business
Kaden Wilson,19,1.12,27,Senior,Bio Med
Emmy Manukyan,15,3.33,60,Victory Lap,Business
Keaton Manukyan,17,0.55,40,Sophomore,Early College
Eliana Johnson,18,3.11,5,Victory Lap,Early Childhood Education
Danielle DeFreitas,14,2.18,41,Freshman,Engineering
Eliana Garcia,19,3.5,42,Victory Lap,Engineering
Lucian Brown,14,0.89,46,Junior,Criminal Justice
Marge Davis,18,0.41,19,Junior,Early College
Emma Manukyan,19,3.68,58,Junior,Bio Med
Kaden Fogarty,16,1.29,25,Victory Lap,Criminal Justice
Kaden Wilson,19,4.09,39,Sophomore,Computer Science
Aiden Wilson,14,3.56,17,Sophomore,Construction
Jill Smith,17,1.53,6,Junior,Engineering
Eliana Brown,14,1.06,7,Junior,Early Childhood Education
Benedict Anderson,19,2.3,25,Junior,Business
Eliana Manukyan,17,2.04,55,Victory Lap,Early College
Jane Moore,19,2.13,24,Freshman,Culinary
Rachel Anderson,17,1.96,10,Senior,Business
Katerina DeFreitas,17,3.97,3,Freshman,Early Childhood Education
Van Anderson,17,2.34,44,Junior,Engineering
Andrew Foster,19,3.61,16,Freshman,Criminal Justice
Kyan DeFreitas,15,0.86,1,Freshman,Computer Science
Jill Johnson,18,2.63,34,Victory Lap,Computer Science
Andrew Moore,14,2.59,13,Junior,Bio Med
Kaden Willaims,14,4.07,40,Victory Lap,Criminal Justice
Eliana Davis,15,3.17,41,Senior,Engineering
Aiden DeFreitas,15,2.4,2,Sophomore,Criminal Justice
Van Willaims,17,0.9,28,Junior,Criminal Justice
Ben Garcia,17,3.86,46,Victory Lap,Computer Science
Ben Jones,18,2.64,4,Victory Lap,Early College
Alexis DeFreitas,16,3.6,54,Freshman,Computer Science
Van Brown,19,1.61,48,Freshman,Early College
Katerina Wilson,14,2.54,5,Freshman,Marketing
Kyan Garcia,14,3.09,7,Freshman,Early Childhood Education
Marge Moore,19,1.24,2,Junior,Engineering
Eliana Fogarty,15,2.97,37,Senior,Early College
Joe Manukyan,16,2.7,60,Sophomore,Engineering
Danielle Garcia,19,2.37,42,Junior,Bio Med
Katerina Miller,14,2.09,30,Victory Lap,Marketing
Roman Johnson,18,0.78,49,Victory Lap,Engineering
Emmy Smith,14,2.77,23,Sophomore,Criminal Justice
Andrew Moore,16,4.08,35,Freshman,Construction
Kyan Willaims,19,1.06,19,Victory Lap,Early College
Marge Moore,18,0.4,57,Junior,Marketing
Joe Garcia,18,0.84,46,Victory Lap,Early Childhood Education
Benedict Fogarty,15,1.09,44,Junior,Marketing
Alexis Smith,19,4.28,49,Victory Lap,Marketing
Keaton Garcia,16,0.45,1,Freshman,Early Childhood Education
Joe Moore,14,2.11,13,Sophomore,Business
Rachel Smith,18,3.33,44,Victory Lap,Early College
Van Foster,17,0.58,53,Junior,Bio Med
Emma Anderson,18,1.66,44,Sophomore,Bio Med
Ben Davis,18,3.93,8,Junior,Bio Med
Noah Garcia,17,3.2,50,Freshman,Business
Keaton Manukyan,18,4.19,51,Sophomore,Marketing
Roman Anderson,16,0.83,35,Senior,Early Childhood Education
Katerina Anderson,17,2.35,6,Freshman,Business
Elijah Davis,17,4.0,5,Junior,Early Childhood Education
Alexis Wilson,15,2.25,33,Junior,Early College
Jill DeFreitas,16,4.1,44,Sophomore,Computer Science
Katerina Jones,18,0.77,38,Victory Lap,Early Childhood Education
Aiden Miller,17,1.81,50,Sophomore,Early Childhood Education
Marge Jones,17,1.2,44,Sophomore,Computer Science
Mac Miller,15,1.42,2,Victory Lap,Culinary
Eliana Moore,16,1.52,57,Senior,Construction
Marge DeFreitas,19,3.73,55,Junior,Culinary
Danielle Smith,19,3.09,4,Senior,Engineering
Elijah Anderson,19,1.44,33,Freshman,Business
Ben Willaims,17,2.88,32,Freshman,Criminal Justice
Ben Jones,19,3.75,30,Junior,Marketing
Keaton Brown,18,0.96,38,Victory Lap,Early Childhood Education
Lucian Willaims,18,2.88,1,Sophomore,Criminal Justice
Van Jones,15,2.99,31,Senior,Early Childhood Education
Emma Fogarty,19,0.42,44,Junior,Engineering
Alexis Johnson,19,3.47,27,Junior,Criminal Justice
Kyan Davis,17,1.68,48,Freshman,Computer Science
Roman Moore,16,3.2,8,Sophomore,Marketing
Emmy Johnson,15,4.03,50,Sophomore,Early College
Roman Willaims,17,3.29,27,Victory Lap,Early Childhood Education
Katerina Jones,16,1.37,7,Senior,Engineering
Aiden Miller,15,3.46,40,Junior,Business
Kaden Fogarty,15,2.41,5,Victory Lap,Criminal Justice
Andrew DeFreitas,14,1.24,0,Victory Lap,Early College
Jane Anderson,17,1.91,12,Junior,Early Childhood Education
Roman Garcia,17,0.92,55,Victory Lap,Early Childhood Education
Kaden Fogarty,18,1.21,3,Senior,Early Childhood Education
Keaton Moore,16,3.88,49,Senior,Marketing
Kaden Moore,19,3.0,34,Senior,Early College
Noah Garcia,18,3.42,29,Victory Lap,Bio Med
Emmy Wilson,16,0.48,1,Senior,Marketing
Lisa Wilson,17,3.31,47,Sophomore,Culinary
Katerina Jones,15,0.65,35,Sophomore,Construction
Mac Moore,17,2.77,29,Sophomore,Bio Med
Joe Brown,14,1.26,41,Sophomore,Computer Science
Joe Johnson,19,1.9,13,Sophomore,Marketing
Kaden Willaims,19,3.29,32,Sophomore,Criminal Justice
Van Johnson,15,1.06,58,Sophomore,Culinary
Kyan Jones,17,2.3,5,Sophomore,Early College
Kyan Miller,15,1.87,54,Sophomore,Marketing
Joe Anderson,17,0.45,55,Sophomore,Construction
Noah Miller,15,0.45,17,Sophomore,Criminal Justice
Jane Willaims,18,2.74,13,Freshman,Construction
Katerina Manukyan,14,1.47,49,Victory Lap,Bio Med
Jill Willaims,14,3.8,13,Junior,Engineering
Ben Johnson,16,1.95,49,Freshman,Early College
Eliana Manukyan,14,2.47,53,Victory Lap,Early College
Rachel Garcia,17,2.88,39,Sophomore,Culinary
Emmy Johnson,18,1.95,33,Freshman,Bio Med
Roman Manukyan,19,3.06,8,Freshman,Criminal Justice
Benedict Wilson,19,3.2,10,Junior,Culinary
Van Manukyan,14,1.0,17,Senior,Marketing
Noah Anderson,17,0.31,21,Junior,Criminal Justice
Emmy Wilson,15,0.87,41,Sophomore,Computer Science
Jill Davis,19,3.46,9,Senior,Early College
Noah Johnson,15,2.21,0,Victory Lap,Culinary
Lisa Fogarty,19,1.05,42,Sophomore,Marketing
Andrew Foster,14,0.78,56,Junior,Computer Science
Lisa Johnson,18,0.66,12,Victory Lap,Culinary
Jane Foster,18,2.0,46,Sophomore,Marketing
Marge Miller,14,2.59,29,Freshman,Culinary
Emma Smith,19,3.2,23,Junior,Criminal Justice
Van Anderson,17,3.4,5,Victory Lap,Marketing
Kaden Wilson,15,4.19,36,Junior,Bio Med
Joe Davis,14,1.06,9,Freshman,Criminal Justice
Kaden Fogarty,19,3.34,36,Junior,Construction
Danielle Willaims,16,0.36,44,Senior,Marketing
Rachel Willaims,17,1.64,6,Senior,Early Childhood Education
Alexis Foster,16,3.34,1,Sophomore,Marketing
Katerina Brown,16,4.05,19,Sophomore,Construction
Rachel Miller,18,4.07,37,Junior,Bio Med
Katerina Manukyan,15,3.3,53,Victory Lap,Computer Science
Van Smith,17,1.81,23,Freshman,Bio Med
